date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
2021-01-21,California,State,Total,88.0,100.0,559.14285714285,100.0
2021-01-21,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-21,California,State,Alpha,27.0,30.68,14.57142857142,2.6060296372
2021-01-21,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-21,California,State,Epsilon,43.0,48.86,313.57142857142,56.080735820133
2021-01-21,California,State,Omicron,0.0,0.0,0.14285714285,0.025549310169
2021-01-21,California,State,Delta,1.0,1.14,0.71428571428,0.127746550843
2021-01-21,California,State,Gamma,0.0,0.0,0.28571428571,0.051098620337
2021-01-22,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-22,California,State,Other,12.0,25.0,197.57142857142,40.748379493223
2021-01-22,California,State,Alpha,7.0,14.58,14.42857142857,2.975839717148
2021-01-22,California,State,Delta,1.0,2.08,0.57142857142,0.117855038303
2021-01-22,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-22,California,State,Total,48.0,100.0,484.85714285714,100.0
2021-01-22,California,State,Omicron,0.0,0.0,0.14285714285,0.029463759576
2021-01-22,California,State,Gamma,0.0,0.0,0.28571428571,0.058927519151
2021-01-22,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-22,California,State,Epsilon,28.0,58.33,271.85714285714,56.069534472599
2021-01-23,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-23,California,State,Omicron,0.0,0.0,0.14285714285,0.037230081906
2021-01-23,California,State,Gamma,0.0,0.0,0.28571428571,0.074460163812
2021-01-23,California,State,Alpha,11.0,42.31,13.57142857142,3.536857781087
2021-01-23,California,State,Delta,0.0,0.0,0.57142857142,0.148920327625
2021-01-23,California,State,Total,26.0,100.0,383.71428571428,100.0
2021-01-23,California,State,Epsilon,11.0,42.31,218.0,56.813104988831
2021-01-23,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-23,California,State,Other,4.0,15.38,151.14285714285,39.389426656739
2021-01-23,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-24,California,State,Alpha,7.0,15.22,14.14285714285,4.09429280397
2021-01-24,California,State,Total,46.0,100.0,345.42857142857,100.0
2021-01-24,California,State,Epsilon,35.0,76.09,197.0,57.030603804797
2021-01-24,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-24,California,State,Delta,0.0,0.0,0.57142857142,0.165425971878
2021-01-24,California,State,Other,4.0,8.7,133.42857142857,38.626964433416
2021-01-24,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-24,California,State,Omicron,0.0,0.0,0.14285714285,0.041356492969
2021-01-24,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-24,California,State,Gamma,0.0,0.0,0.14285714285,0.041356492969
2021-01-25,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-25,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-25,California,State,Other,32.0,38.1,94.71428571428,37.777777777778
2021-01-25,California,State,Delta,0.0,0.0,0.42857142857,0.17094017094
2021-01-25,California,State,Omicron,0.0,0.0,0.14285714285,0.05698005698
2021-01-25,California,State,Total,84.0,100.0,250.71428571428,100.0
2021-01-25,California,State,Gamma,0.0,0.0,0.14285714285,0.05698005698
2021-01-25,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-25,California,State,Alpha,4.0,4.76,12.85714285714,5.128205128205
2021-01-25,California,State,Epsilon,48.0,57.14,142.42857142857,56.809116809117
2021-01-26,California,State,Epsilon,347.0,60.45,95.57142857142,59.892569382274
2021-01-26,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-26,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-26,California,State,Delta,1.0,0.17,0.42857142857,0.268576544315
2021-01-26,California,State,Gamma,0.0,0.0,0.14285714285,0.089525514772
2021-01-26,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-26,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-26,California,State,Alpha,9.0,1.57,11.42857142857,7.162041181737
2021-01-26,California,State,Other,217.0,37.8,52.0,32.587287376902
2021-01-26,California,State,Total,574.0,100.0,159.57142857142,100.0
2021-01-27,California,State,Alpha,12.0,1.71,11.0,4.910714285714
2021-01-27,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-27,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-27,California,State,Other,230.0,32.76,73.71428571428,32.908163265306
2021-01-27,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-27,California,State,Gamma,0.0,0.0,0.0,0.0
2021-01-27,California,State,Epsilon,459.0,65.38,138.71428571428,61.926020408163
2021-01-27,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-27,California,State,Delta,1.0,0.14,0.57142857142,0.255102040816
2021-01-27,California,State,Total,702.0,100.0,224.0,100.0
2021-01-28,California,State,Total,868.0,100.0,335.42857142857,100.0
2021-01-28,California,State,Beta,2.0,0.23,0.28571428571,0.085178875639
2021-01-28,California,State,Other,305.0,35.14,114.85714285714,34.241908006814
2021-01-28,California,State,Epsilon,531.0,61.18,208.42857142857,62.137989778535
2021-01-28,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-28,California,State,Delta,1.0,0.12,0.57142857142,0.170357751278
2021-01-28,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-28,California,State,Alpha,26.0,3.0,10.85714285714,3.236797274276
2021-01-28,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-28,California,State,Gamma,3.0,0.35,0.42857142857,0.127768313458
2021-01-29,California,State,Epsilon,145.0,68.72,225.14285714285,62.763839107925
2021-01-29,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-29,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-29,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-29,California,State,Other,53.0,25.12,120.71428571428,33.651931501394
2021-01-29,California,State,Total,211.0,100.0,358.71428571428,100.0
2021-01-29,California,State,Delta,1.0,0.47,0.57142857142,0.15929908403
2021-01-29,California,State,Gamma,2.0,0.95,0.71428571428,0.199123855038
2021-01-29,California,State,Alpha,10.0,4.74,11.28571428571,3.146156909598
2021-01-29,California,State,Beta,0.0,0.0,0.28571428571,0.079649542015
2021-01-30,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-30,California,State,Beta,0.0,0.0,0.28571428571,0.077130736599
